res_id,wrk_1,wrk_2,wrk_3,wrk_4,wrk_5,wrk_6,wrk_7,wrk_8,wrk_9,wrk_10,wrk_11,wrk_12,wrk_13,wrk_14,wrk_15,wrk_16,wrk_17,wrk_18,wrk_19,wrk_20,wrk_21,wrk_22,wrk_23,wrk_24,wrk_25,wrk_26,wrk_27,wrk_28,wrk_29,wrk_30,wrk_31,wrk_32,wrk_33,wrk_34,wrk_35,wrk_36,wrk_37,wrk_38,wrk_39,wrk_40,wrk_41,wrk_42,wrk_43,wrk_44,wrk_45,wrk_46,wrk_47,wrk_48,wrk_49,wrk_50,wrk_51,wrk_52,wrk_53,wrk_54,wrk_55,wrk_56,wrk_57,wrk_58,wrk_59,wrk_60,wrk_61,wrk_62,wrk_63,wrk_64,wrk_65,wrk_66,wrk_67,wrk_68,wrk_69,wrk_70,wrk_71,wrk_72,wrk_73,wrk_74,wrk_75,wrk_76,wrk_77
38,84,57,44,8,2,223,6,195,91,9,63,52,5,8,11,10,2,134,87,94,1,251,17,5,75,13,18,102,27,11,2,75,260,689,209,84,16,2813,1526,293,582,18308,156,44,15,15,24,9173,304,5286,63,615,111,126,184,2,647,97,6,0,325,6,8,20,131,9,432,2,16,3,8,39,15,2,202,1164,43
39,38,28,29,6,3,144,4,79,60,7,45,32,2,8,9,6,3,81,41,41,0,111,10,4,33,8,7,71,14,6,2,20,110,455,108,42,9,652,1407,130,334,11286,125,30,5,13,17,5616,150,3232,47,224,72,62,89,3,312,68,5,1,132,0,7,7,67,5,173,1,10,1,4,23,12,1,83,625,20
40,118,13,12,5,0,83,2,111,59,2,21,21,3,7,9,4,2,33,55,42,0,194,20,5,65,0,7,27,6,5,1,19,75,117,151,49,2,765,492,989,211,4774,87,9,12,2,6,2494,178,1519,32,358,45,183,76,0,247,62,4,2,225,4,6,3,36,6,368,3,5,2,5,12,11,0,236,453,12
41,94,100,48,7,7,247,7,365,201,12,50,36,4,9,7,29,5,58,102,83,2,123,25,7,46,8,23,108,26,15,3,123,265,388,284,86,12,746,805,223,1732,8420,207,61,44,11,7,4369,188,3398,100,376,120,145,198,4,677,160,7,0,166,4,7,11,101,12,270,2,22,15,5,24,20,2,147,1743,27
42,8,16,54,10,4,67,8,22,21,5,30,12,5,10,4,15,4,79,13,11,6,20,2,9,12,0,18,69,11,7,2,8,36,594,31,35,9,135,173,30,77,8324,74,18,4,7,7,2188,131,1920,21,55,42,19,23,1,471,12,8,2,62,13,11,8,37,5,55,1,22,0,4,13,9,2,27,209,17
43,27,67,71,20,9,99,4,48,32,11,83,75,3,6,11,31,15,44,28,41,8,19,10,8,10,4,22,79,16,9,2,23,90,173,37,25,7,188,195,26,176,2631,859,77,5,5,7,1292,172,1408,138,46,106,14,40,0,90,14,7,2,26,4,11,8,164,6,35,3,16,12,3,15,56,0,14,467,17
44,11,53,263,13,3,46,1,21,10,11,135,66,3,1,11,11,17,15,5,18,3,10,4,3,5,2,29,65,12,5,2,14,45,63,13,13,7,80,76,6,53,1246,229,183,3,7,5,511,94,450,131,18,25,14,19,0,43,2,8,0,7,4,8,6,72,8,25,3,5,12,5,3,33,1,9,149,12
45,13,10,3,6,3,56,1,35,88,4,4,4,1,2,2,4,1,6,45,14,0,15,12,0,21,0,2,11,2,1,1,19,18,15,68,41,0,59,49,38,58,826,41,5,115,2,3,310,60,274,11,41,13,19,65,0,141,73,1,0,18,1,0,0,18,2,37,0,0,1,2,13,10,2,24,124,0
46,4,45,31,48,29,27,38,13,9,112,18,17,5,13,28,28,3,66,9,34,5,14,3,9,1,9,12,66,27,37,3,5,12,133,14,11,6,42,49,5,16,2808,56,22,2,213,75,519,118,495,71,9,30,11,12,0,92,6,29,4,31,63,17,37,47,22,29,26,19,6,6,4,30,10,9,55,38
47,7,15,46,31,2,25,1,12,13,75,14,27,3,12,10,22,5,20,9,13,12,14,3,3,6,2,25,95,8,10,3,5,8,63,10,8,1,32,42,3,24,3527,34,17,0,81,290,333,125,350,44,16,30,10,4,2,51,3,5,4,19,12,15,16,35,6,18,3,0,14,3,4,31,6,6,67,13
48,39,62,51,14,8,161,11,76,59,22,52,40,8,17,20,35,17,138,55,59,3,71,18,13,30,4,32,144,16,21,4,24,183,615,80,57,11,542,719,139,291,18224,174,36,4,18,10,11005,215,4704,77,216,99,48,79,1,493,42,11,6,182,18,18,28,90,14,220,7,15,6,6,41,33,3,89,741,36
49,19,26,76,11,0,54,7,22,21,7,40,21,5,9,7,9,2,78,22,7,1,21,4,6,8,2,16,74,31,6,4,4,23,759,26,43,0,130,128,24,44,4119,87,27,2,7,3,1442,390,1300,34,26,47,11,39,1,104,5,4,0,64,6,10,6,48,6,78,0,10,1,4,5,19,2,27,167,21
50,33,66,68,14,9,193,19,55,62,16,56,41,9,18,18,40,11,107,44,62,4,61,19,9,22,12,17,114,32,28,3,29,137,447,108,62,24,300,376,103,185,9097,219,51,8,21,13,3349,186,5040,91,106,149,38,81,3,300,31,11,0,114,20,24,32,105,21,132,6,12,14,11,33,40,1,61,614,43
51,20,131,165,53,20,112,36,77,50,30,163,139,19,9,36,70,24,79,27,59,4,25,7,28,10,14,109,103,34,35,9,26,84,146,45,25,20,158,175,31,106,1827,265,121,10,15,12,838,214,806,601,43,73,28,46,3,93,21,23,8,36,14,18,20,134,30,54,14,16,20,21,9,106,9,23,311,27
52,67,15,17,2,2,89,3,77,45,4,11,10,4,7,6,2,5,25,37,35,1,84,7,3,28,1,4,24,3,7,0,39,87,107,117,36,4,706,452,176,245,4725,60,9,14,5,4,2405,112,1555,15,671,49,67,57,0,176,48,7,1,122,1,3,2,48,8,198,1,2,8,3,16,3,0,92,441,10
53,37,65,60,11,6,212,21,55,51,9,40,49,6,7,15,34,9,55,27,94,0,32,16,2,6,5,37,144,39,20,2,27,118,58,136,24,8,180,169,54,105,1954,151,54,26,9,3,923,105,795,85,38,363,38,41,0,200,37,13,0,40,11,2,8,149,11,68,6,15,10,8,32,42,4,30,424,8
54,56,3,9,2,3,19,1,32,19,0,8,7,0,3,4,7,3,11,20,12,0,49,10,4,35,1,2,12,3,4,0,12,37,37,92,35,1,158,78,189,52,1033,29,17,4,2,3,479,39,334,8,74,25,359,83,0,120,46,2,1,98,3,4,1,18,7,107,1,4,0,1,3,6,0,128,115,8
55,64,17,9,5,0,57,1,59,72,3,16,27,0,4,10,6,4,14,112,27,0,74,106,4,87,10,4,31,4,6,1,28,61,40,109,126,1,235,152,118,104,4643,71,17,43,3,1,983,134,736,37,92,19,91,670,0,515,227,4,0,126,3,2,6,40,4,86,1,1,2,2,19,11,0,91,260,3
56,1,9,21,6,7,12,25,2,6,14,7,6,15,0,11,6,5,51,1,4,3,5,1,16,1,4,10,20,35,19,1,1,15,88,7,4,10,24,21,3,6,693,22,8,0,4,2,312,47,227,16,4,16,10,5,13,18,3,6,4,10,3,1,12,13,11,13,9,4,1,4,3,11,1,6,33,19
57,21,5,5,3,0,28,0,19,31,3,4,2,1,1,1,2,2,7,41,5,2,23,14,2,10,0,2,14,3,2,1,11,19,16,27,14,0,44,41,24,39,766,21,4,14,1,2,270,33,207,8,22,4,25,95,0,440,52,1,0,30,0,2,2,15,1,23,1,1,1,1,6,3,0,37,69,3
58,133,59,20,24,4,170,3,209,248,9,28,25,6,2,20,18,9,33,201,54,4,115,51,2,102,2,7,53,6,9,3,83,144,73,395,256,5,515,367,212,438,4274,130,35,58,12,9,1946,214,1307,63,263,64,218,318,0,702,1006,13,0,125,8,5,8,84,11,219,3,1,6,5,39,29,2,149,616,8
59,4,12,10,4,12,13,36,3,5,27,4,7,20,9,24,11,2,25,2,8,8,3,3,11,4,2,18,18,13,21,1,2,4,64,8,3,5,15,21,4,4,642,15,15,1,14,10,224,33,147,21,2,11,2,3,0,26,2,27,3,6,37,5,28,8,15,6,12,1,1,15,4,16,8,8,32,17
60,2,6,13,8,6,7,20,3,5,13,4,11,10,7,21,15,1,46,2,1,2,2,2,14,0,1,4,20,20,4,6,1,3,23,6,3,4,13,4,1,2,330,13,9,0,7,4,118,21,85,24,4,8,1,1,1,25,2,22,7,4,51,6,24,8,14,9,16,3,2,4,1,18,9,4,19,6
61,69,24,18,7,2,91,5,83,53,10,30,12,0,5,9,9,5,65,47,55,0,400,9,3,53,0,6,51,18,14,0,38,88,229,178,67,6,660,605,254,177,4280,75,14,8,4,5,2654,164,1369,27,207,35,151,96,0,233,69,7,2,1303,4,13,7,49,14,530,5,12,4,6,11,14,1,383,402,27
62,6,70,42,53,78,71,134,15,15,93,25,28,68,23,104,52,6,120,17,42,10,19,8,35,8,27,47,110,72,65,23,4,32,233,29,9,16,75,68,18,19,3030,80,47,5,47,27,909,180,700,81,16,41,26,17,4,102,6,86,15,46,230,37,111,74,90,57,65,18,9,33,9,85,20,18,123,52
63,5,29,25,22,34,35,90,19,23,38,19,25,39,31,76,21,6,77,20,12,30,22,9,21,8,10,46,57,35,59,26,7,21,154,19,10,12,83,58,17,24,1659,66,38,3,31,7,694,127,490,64,10,39,16,15,2,77,7,22,4,36,55,181,92,50,79,51,33,9,10,15,8,66,8,18,125,36
64,5,17,16,24,24,12,46,9,5,14,19,13,31,17,31,13,5,40,6,6,57,9,2,9,2,7,11,23,18,40,29,5,19,80,9,6,3,34,23,5,12,1011,49,26,2,25,4,356,54,288,40,11,18,10,6,0,38,3,27,6,12,44,76,145,22,46,23,11,0,6,5,3,32,4,10,37,17
65,36,268,43,51,14,195,10,90,102,17,83,205,6,3,31,63,49,34,36,72,9,33,8,12,27,18,123,141,25,23,2,52,159,82,64,41,6,194,182,39,212,2074,470,101,7,11,12,1037,194,1078,208,74,322,38,50,3,118,34,21,6,27,10,10,15,907,11,59,2,13,35,18,19,190,7,48,566,24
66,17,79,67,48,54,99,141,20,43,87,35,34,81,58,96,54,9,200,35,49,12,55,17,55,6,28,49,170,103,136,10,14,55,504,45,38,61,181,166,38,65,3849,161,40,4,36,17,1778,261,1243,121,29,105,38,36,5,195,20,53,11,72,66,73,92,79,356,142,49,32,8,31,12,93,20,63,217,115
